date,noComplaints,noResolvedComplaints,noProblems,noInfoSeeking
01-08-2016,77,73,77,0
01-09-2016,45,0,43,2
01-10-2016,34,0,34,0
01-11-2016,57,99,56,1
01-12-2016,69,88,68,1
1/13/2016,63,72,62,1
1/14/2016,63,72,62,1
1/15/2016,54,58,54,0
1/16/2016,23,0,14,9
1/17/2016,7,0,5,2
1/18/2016,38,57,32,6
1/19/2016,37,31,31,6
1/20/2016,19,34,16,3
1/21/2016,17,52,9,8
1/22/2016,15,0,10,5
1/23/2016,12,0,10,2
1/24/2016,6,0,6,0
1/25/2016,24,58,19,5
1/26/2016,2,0,2,0
1/27/2016,33,17,27,6
1/28/2016,20,49,17,3
1/29/2016,25,8,17,8
1/30/2016,21,0,17,4
1/31/2016,6,0,2,4
02-01-2016,23,26,23,0
02-02-2016,31,14,27,4
02-03-2016,30,14,20,10
02-04-2016,24,10,23,1
02-05-2016,23,12,19,4
02-06-2016,25,0,17,8
02-07-2016,7,0,7,0
02-08-2016,20,67,14,6
02-09-2016,23,33,18,5
02-10-2016,30,22,26,4
02-11-2016,32,25,29,3
02-12-2016,23,33,21,2
2/13/2016,14,0,12,2
2/14/2016,4,0,4,0
2/15/2016,39,27,37,2
2/16/2016,23,13,19,4
2/17/2016,22,27,20,2
2/18/2016,25,25,25,0
2/19/2016,13,0,11,2
2/20/2016,10,0,6,4
2/21/2016,12,0,10,2
2/22/2016,20,69,18,2
2/23/2016,27,37,22,5
2/24/2016,31,73,28,3
2/25/2016,31,98,24,7
2/26/2016,88,37,57,31
2/27/2016,58,0,26,32
2/28/2016,38,0,21,17
2/29/2016,82,82,46,36
03-01-2016,112,101,62,50
03-02-2016,97,133,60,37
03-03-2016,105,157,68,37
03-04-2016,106,128,72,34
03-05-2016,86,0,50,36
03-06-2016,60,0,32,28
03-07-2016,67,0,43,24
03-08-2016,122,79,68,54
03-09-2016,105,110,59,46
03-10-2016,114,52,58,56
03-11-2016,119,116,62,57
03-12-2016,68,0,33,35
3/13/2016,47,0,21,26
3/14/2016,106,220,71,35
3/15/2016,122,167,64,58
3/16/2016,108,150,71,37
3/17/2016,75,140,47,28
3/18/2016,93,150,57,36
3/19/2016,62,0,40,22
3/20/2016,56,0,21,35
3/21/2016,131,97,63,68
3/22/2016,100,102,62,38
3/23/2016,88,142,45,43
3/24/2016,61,0,29,32
3/25/2016,73,0,32,41
3/26/2016,74,0,41,33
3/27/2016,52,0,26,26
3/28/2016,129,142,79,50
3/29/2016,148,153,81,67
3/30/2016,140,167,76,64
3/31/2016,92,103,55,37
04-01-2016,104,219,54,50
04-02-2016,93,0,36,57
04-03-2016,53,0,25,28
04-04-2016,116,176,70,46
04-05-2016,106,110,61,45
04-06-2016,119,161,75,44
04-07-2016,103,131,69,34
04-08-2016,69,0,34,35
04-09-2016,77,0,44,33
04-10-2016,45,0,16,29
04-11-2016,108,188,75,33
04-12-2016,117,162,69,48
4/13/2016,103,133,52,51
4/14/2016,51,0,26,25
4/15/2016,49,0,24,25
4/16/2016,46,0,26,20
4/17/2016,44,0,23,21
4/18/2016,89,147,48,41
4/19/2016,82,0,53,29
4/20/2016,77,371,46,31
4/21/2016,79,58,40,39
4/22/2016,52,95,29,23
4/23/2016,52,0,25,27
4/24/2016,38,0,28,10
4/25/2016,67,100,45,22
4/26/2016,83,116,51,32
4/27/2016,75,96,44,31
4/28/2016,71,195,40,31
4/29/2016,61,144,38,23
4/30/2016,62,0,37,25
05-01-2016,41,0,20,21
05-02-2016,83,187,44,39
05-03-2016,86,84,52,34
05-04-2016,76,97,42,34
05-05-2016,76,88,42,34
05-06-2016,83,86,50,33
05-07-2016,36,0,20,16
05-08-2016,44,0,23,21
05-09-2016,87,102,55,32
05-10-2016,84,104,52,32
05-11-2016,93,86,52,41
05-12-2016,93,93,52,41
5/13/2016,85,102,54,31
5/14/2016,63,0,35,28
5/15/2016,37,0,17,20
5/16/2016,61,179,39,22
5/17/2016,71,99,50,21
5/18/2016,71,71,44,27
5/19/2016,58,72,36,22
