"date","open","high","low","volume","close"
2007-12-07,223.009995,224.039993,217.029999,7797700,217.889999
2007-12-10,219.190002,224.309998,218.009995,8412400,224.210007
2007-12-11,224.110001,227.449997,210.690002,12783500,211.149994
2007-12-12,217.050003,220.850006,208.5,18041100,212.580002
2007-12-13,209.850006,214.240005,204.940002,17143300,208.479996
2007-12-14,208.740005,215.199997,207.699997,10348500,210.669998
2007-12-17,209.759995,211.809998,207,13323900,208.630005
2007-12-18,209.800003,210.529999,196.899994,30016700,201.509995
2007-12-19,202.679993,206.100006,200.639999,11895100,204.160004
2007-12-20,206.059998,206.720001,200.649994,10108000,202.669998
2007-12-21,205.850006,210.25,205.020004,10853800,209.600006
2007-12-24,211,214.949997,210.699997,3419400,214.320007
2007-12-26,214.089996,217.369995,211.550003,4290500,216.690002
2007-12-27,214.880005,217.800003,211.949997,5304600,211.949997
2007-12-28,214.449997,214.770004,211.809998,4209500,211.940002
2007-12-31,211.589996,216.789993,209.5,5834300,215.050003
2008-01-02,214.800003,215.050003,206.600006,9573500,207.600006
2008-01-03,208.919998,209.039993,204.139999,7751700,204.839996
2008-01-04,201,204,198.289993,10157900,199.929993
2008-01-07,200.229996,200.25,189.990005,16044400,194.729996
2008-01-08,195.809998,199.5,189,13553700,189.5
2008-01-09,189.039993,192.199997,183.699997,15901200,191.75
2008-01-10,189.350006,199.399994,187.039993,14830500,196.910004
2008-01-11,196.960007,200.679993,194.570007,12400600,198.740005
2008-01-14,200.169998,202.220001,199.029999,9400200,201.649994
2008-01-15,199.550003,199.550003,192.360001,11292700,193.289993
2008-01-16,193.309998,201.779999,192.399994,13026600,197.5
2008-01-17,198.289993,199.5,189.660004,12283800,190.979996
2008-01-18,192.169998,193.389999,184.600006,14975700,187.210007
2008-01-22,178.169998,192.830002,175.419998,19029400,190.690002
2008-01-23,186.039993,199.970001,184.589996,17635700,199.389999
2008-01-24,200.100006,201,194.199997,11987200,199.199997
2008-01-25,201.509995,202,189.910004,14019500,191.369995
2008-01-28,190.619995,196.460007,190.619995,10216000,196.25
